"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","778","Проверяем формат JSON-файла","","Tue May 06 19:48:41 GMT 2025","passed","Tue May 06 19:48:42 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFormatJson"
"","882","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:48:40 GMT 2025","passed","Tue May 06 19:48:41 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","correctJson"
"","1000","Статус 200. Получить список сотрудников для компании","","Tue May 06 19:48:24 GMT 2025","passed","Tue May 06 19:48:25 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetListEmployeeCompanyIdStatusOk"
"","0","Валидация ответа запроса на получение cписка сотрудников по id компании","","Tue May 06 19:48:54 GMT 2025","skipped","Tue May 06 19:48:54 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetCompanyId"
"","1016","Статус 401. Неверный токен","","Tue May 06 19:48:33 GMT 2025","passed","Tue May 06 19:48:34 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentUserToken"
"","900","Статус 400. Передан некорректный email","","Tue May 06 19:48:30 GMT 2025","passed","Tue May 06 19:48:31 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentEmailErrorStatus"
"","4712","Запрос по сотруднику. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:48:17 GMT 2025","passed","Tue May 06 19:48:22 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonEmployeeId"
"","1014","Статус 200. Несуществующий id","","Tue May 06 19:48:22 GMT 2025","passed","Tue May 06 19:48:23 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentCompanyId"
"","481","Авторизация с не заблокированным пользователем","","Tue May 06 19:48:04 GMT 2025","passed","Tue May 06 19:48:05 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","correctAuthorization"
"","775","Статус 201. Сотрудник добавлен","","Tue May 06 19:48:37 GMT 2025","passed","Tue May 06 19:48:37 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","addEmployeeStatusOk"
"","967","Статус 400. Сломанный JSON","","Tue May 06 19:48:43 GMT 2025","passed","Tue May 06 19:48:44 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","brokenJson"
"","1158","Статус 200. Несуществующий id","","Tue May 06 19:48:25 GMT 2025","passed","Tue May 06 19:48:26 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentEmployeeId"
"","998","Статус 400. Неверный e-mail","","Tue May 06 19:48:39 GMT 2025","passed","Tue May 06 19:48:40 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentEmail"
"","940","Статус 200. Изменение данных сотрудника","","Tue May 06 19:48:32 GMT 2025","passed","Tue May 06 19:48:33 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkChangeEmployeeStatusOk"
"","1123","Статус 500. Передан несуществующий id Employee","","Tue May 06 19:48:31 GMT 2025","passed","Tue May 06 19:48:32 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkErrorStatusNonexistentIdEmployee"
"","2940","Авторизация с заблокированным пользователем","","Tue May 06 19:48:01 GMT 2025","passed","Tue May 06 19:48:04 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","inCorrectAuthorization"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","6270","Проверка итоговой суммы корзины [2] Авторизоваться как performance_glitch_user","","Tue May 06 19:48:06 GMT 2025","passed","Tue May 06 19:48:12 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","837","Проверяем, что возвращенный id > 0","","Tue May 06 19:48:57 GMT 2025","passed","Tue May 06 19:48:58 GMT 2025","","tests.api.xclients.business.BusinessPostTest","tests.api.xclients.business.BusinessPostTest","addEmployeeCheckId"
